Airline,Source,Destination,Duration (hrs),Stopovers,Aircraft Type,Class,Booking Source,Base Fare (BDT),Tax & Surcharge (BDT),Seasonality,Days Before Departure
FlyDubai,CXB,BZL,3.981686378933884,Direct,Airbus A320,Business,Online Website,-13789.240721241553,3867.450380619922,Regular,53.63432796205741
Gulf Air,CGP,SIN,1.5000390906076226,Direct,Boeing 737,Business,Travel Agency,20147.815405136556,15636.837113550619,Hajj,24.89889501702708
Turkish Airlines,CXB,ZYL,2.322129639620386,Direct,Airbus A320,Economy,Online Website,-27575.966196062687,-2126.59971100387,Regular,73.30917968410577
Saudia,CGP,YYZ,16.007885655556986,2 Stops,Airbus A350,First Class,Travel Agency,204685.10585032185,38291.85879640309,Regular,4.854381088749159
Qatar Airways,SPD,SIN,2.720156235723871,Direct,Boeing 787,Business,Direct Booking,101737.17459217207,20947.327986521956,Regular,48.868555619733264
Singapore Airlines,CGP,KUL,1.5075889002502525,1 Stop,Boeing 737,Business,Travel Agency,94534.53148112711,28006.3319174051,Regular,89.28291030402417
NovoAir,CXB,YYZ,14.679474359818764,1 Stop,Airbus A350,First Class,Online Website,127656.68171520604,28486.766870263087,Winter Holidays,6.329507796501419
US-Bangla Airlines,CXB,IST,8.359875365910927,1 Stop,Boeing 777,First Class,Travel Agency,184649.3550903097,24926.201346331865,Regular,19.520061635340923
Qatar Airways,DAC,DEL,0.07188008562738712,Direct,Boeing 787,First Class,Online Website,140136.71978643484,23352.2626974694,Regular,43.683947424094725
Air Arabia,CXB,LHR,12.035411515795856,1 Stop,Airbus A350,Economy,Online Website,-3123.611713610204,16857.172585198263,Regular,77.46723569554302
Qatar Airways,CGP,KUL,4.3369808041057505,Direct,Boeing 737,Economy,Direct Booking,27832.58031767134,13230.810676097415,Regular,25.691905789412296
IndiGo,SPD,LHR,4.417882184116628,2 Stops,Airbus A350,Economy,Online Website,80045.11260335028,14994.23250005953,Winter Holidays,88.24992746863765
Saudia,JSR,IST,4.970998047485279,1 Stop,Boeing 777,Economy,Online Website,51458.63892462721,17106.77607281108,Winter Holidays,93.29322520602021
Singapore Airlines,CGP,KUL,0.6626184631472756,1 Stop,Boeing 787,Business,Direct Booking,88453.46816107408,13326.650259201268,Winter Holidays,61.37372434689586
Air Arabia,SPD,JFK,16.284212452536092,1 Stop,Boeing 777,Economy,Direct Booking,104763.4923620508,21463.481115707877,Regular,50.244815585102565
Lufthansa,JSR,LHR,12.062467887803697,1 Stop,Boeing 777,Economy,Travel Agency,30773.300260192755,16295.863534741931,Regular,11.638888929329667
Cathay Pacific,JSR,ZYL,3.3208684796649632,Direct,Airbus A320,First Class,Direct Booking,-27609.438390396983,2370.758006761754,Regular,94.87487138895891
Air Arabia,JSR,DXB,2.109827182602464,Direct,Boeing 787,Business,Online Website,98983.67317532949,19508.6004181545,Regular,53.137020922342245
Lufthansa,ZYL,SPD,2.7091640699741544,Direct,Airbus A320,First Class,Travel Agency,8219.626164330099,-1132.0361250403244,Regular,54.049289940870246
Thai Airways,RJH,SPD,-0.7157738955753568,Direct,Airbus A320,Economy,Direct Booking,-45977.07032057314,15666.097580769598,Regular,9.693825119224847
Thai Airways,CGP,BZL,-0.8385531088431439,Direct,Airbus A320,First Class,Online Website,-37340.091451553526,1008.9515765259686,Regular,39.86664971751387
Saudia,RJH,BKK,6.794257255212206,Direct,Boeing 737,Economy,Online Website,-10626.945249453553,11236.40757046863,Regular,30.476987804675744
Kuwait Airways,ZYL,JSR,-0.21356803801086244,Direct,Airbus A320,First Class,Online Website,36969.64367162484,-2753.1026608202283,Regular,46.17763287019572
Turkish Airlines,BZL,SIN,4.7192869658973455,Direct,Boeing 787,Business,Direct Booking,46536.11687000248,15753.579911067274,Winter Holidays,64.93451448409131
British Airways,ZYL,SPD,4.776248449733826,Direct,Airbus A320,Business,Travel Agency,-13528.002139636326,8375.417615534472,Regular,3.13609476080012
Cathay Pacific,CXB,YYZ,12.272533367617253,1 Stop,Airbus A350,First Class,Direct Booking,55889.52439119377,18205.917459633318,Eid,59.098632104070646
IndiGo,ZYL,SIN,2.738396694574994,Direct,Boeing 787,First Class,Online Website,213391.8049764567,46891.376600288015,Regular,60.01234262989669
Malaysian Airlines,DAC,CXB,1.816978219750216,Direct,Airbus A320,Economy,Travel Agency,-14650.625882713395,-7244.432327050618,Regular,42.608676639094
Biman Bangladesh Airlines,JSR,IST,6.262316214862081,2 Stops,Boeing 777,Economy,Direct Booking,26396.95835536121,-3729.895337145713,Regular,16.324004106206328
Gulf Air,JSR,RJH,1.3970919966462454,Direct,Airbus A320,Business,Direct Booking,16388.097979835213,-8748.490314524766,Regular,-13.960707603131578
AirAsia,BZL,ZYL,3.3352422950529865,Direct,Airbus A320,First Class,Direct Booking,61473.38448478216,2324.490010821826,Regular,23.04796013831487
Qatar Airways,SPD,RJH,-0.6273067208254871,Direct,Airbus A320,Business,Online Website,-52841.2524734709,3351.489089488759,Regular,43.11288995817738
Emirates,BZL,CGP,-1.5482964711837193,Direct,Airbus A320,Business,Direct Booking,-32309.57491255105,3554.8192136977354,Hajj,37.41299711433627
Vistara,DAC,LHR,9.695774800923822,1 Stop,Airbus A350,Business,Online Website,73509.6098521271,26745.0066146122,Regular,82.64420835545337
SriLankan Airlines,BZL,RJH,4.264111039682211,Direct,Airbus A320,Business,Travel Agency,2163.442034301722,249.84860247034166,Regular,10.945762625052474
US-Bangla Airlines,DAC,ZYL,3.2703609377334053,Direct,Airbus A320,Business,Travel Agency,-6714.4635655617785,-3893.8662298411837,Regular,37.11999475641223
IndiGo,JSR,CGP,3.2808156118065854,Direct,Airbus A320,Business,Online Website,12427.648032574176,-3270.9623874354083,Regular,44.92134746072551
Thai Airways,SPD,SIN,4.719022163597113,1 Stop,Boeing 737,Economy,Travel Agency,58358.02425622266,13399.1761270871,Regular,39.96269861581425
IndiGo,DAC,RJH,2.412057618392016,Direct,Airbus A320,Economy,Travel Agency,-13231.262742911696,11839.913163488116,Regular,90.32109985097416
Cathay Pacific,DAC,DXB,4.065027084076297,Direct,Boeing 787,Economy,Travel Agency,13430.75727924356,20846.603565032718,Winter Holidays,33.51620465203468
US-Bangla Airlines,RJH,KUL,0.009665309872803007,1 Stop,Boeing 737,First Class,Travel Agency,229103.9056719341,28322.033179591053,Winter Holidays,89.68869779021823
Lufthansa,DAC,BZL,2.0386747960349343,Direct,Airbus A320,Economy,Online Website,-23578.26303486396,1355.9440774335244,Winter Holidays,78.18015356767778
US-Bangla Airlines,CGP,IST,11.286449312580025,1 Stop,Airbus A350,Economy,Online Website,127304.3150008166,14716.43958793418,Regular,24.29008201153237
Qatar Airways,JSR,SIN,4.1230081484403005,Direct,Boeing 787,Economy,Online Website,27002.566794140745,20816.086695899518,Winter Holidays,9.365042148544283
Qatar Airways,CXB,BZL,2.818778100517128,Direct,Airbus A320,First Class,Online Website,-17615.998310318373,-2702.16411948215,Regular,47.379423908299444
Biman Bangladesh Airlines,ZYL,RJH,2.055387327313424,Direct,Airbus A320,Economy,Online Website,7652.544967327765,-1793.6544097108738,Winter Holidays,71.27128177495447
Biman Bangladesh Airlines,ZYL,BKK,4.53920828910891,Direct,Boeing 737,Economy,Online Website,70091.14974716917,13066.099432198562,Regular,37.73490119646375
Thai Airways,SPD,SIN,2.396405589103054,Direct,Boeing 787,Economy,Online Website,78757.18668264667,6778.2354065582895,Regular,39.75319984659832
Turkish Airlines,RJH,CXB,1.340300370834644,Direct,Airbus A320,First Class,Direct Booking,-38594.38258582434,-6905.176820022203,Regular,79.06841219547138
IndiGo,JSR,YYZ,10.156588881575667,1 Stop,Airbus A350,First Class,Online Website,272623.46827244957,41942.94509663758,Regular,26.813342313499252
Turkish Airlines,CXB,DEL,2.467881574608633,1 Stop,Boeing 737,Business,Travel Agency,71654.14578670691,14285.503914723968,Regular,-2.0758186131692877
Gulf Air,JSR,BKK,1.9264454576968126,Direct,Boeing 737,First Class,Online Website,212609.3674294695,46536.875031250216,Winter Holidays,78.4848177631385
Emirates,CGP,DOH,7.679912511493687,1 Stop,Boeing 737,First Class,Direct Booking,99515.81402173587,17967.08965776342,Regular,10.692391184995651
Gulf Air,RJH,DXB,1.748302198763815,Direct,Boeing 737,First Class,Direct Booking,69922.44894525534,11342.773878145563,Regular,44.980642182356334
Qatar Airways,CXB,CGP,1.6884664746407718,Direct,Airbus A320,Business,Travel Agency,-31366.606091448655,1541.7231568157229,Regular,69.22091992403635
Qatar Airways,DAC,IST,6.755142747023375,2 Stops,Airbus A350,First Class,Online Website,159870.82840149084,20530.315630544697,Regular,55.875798982452444
Emirates,ZYL,SIN,1.2407414550583904,Direct,Boeing 787,First Class,Travel Agency,45360.11509733576,27330.12835155937,Regular,37.046942101909345
NovoAir,CGP,JFK,10.966854796774461,1 Stop,Boeing 777,Economy,Direct Booking,63218.25683466781,13192.97624978234,Regular,63.74256425422579
Saudia,DAC,RJH,0.16107630224395414,Direct,Airbus A320,Business,Direct Booking,51768.22976672373,130.1255162877652,Winter Holidays,48.593819005178695
Gulf Air,RJH,DAC,-1.8159886337681792,Direct,Airbus A320,Economy,Online Website,41258.29840178312,-806.0338164422128,Regular,71.99284009875049
Gulf Air,RJH,JFK,14.436015847172182,1 Stop,Airbus A350,Economy,Direct Booking,6975.419518613391,2804.7698980978275,Winter Holidays,11.082671412226702
Air India,SPD,BKK,3.1399107428849,1 Stop,Boeing 787,Business,Direct Booking,91544.88530056595,24577.167040974688,Regular,32.26372629642172
Air India,DAC,BZL,3.252386710831764,Direct,Airbus A320,Business,Travel Agency,-20791.64336063397,8691.484807144265,Regular,19.8708279621398
Gulf Air,CGP,KUL,0.6856277379292406,Direct,Boeing 787,Business,Direct Booking,178312.2874230828,24876.007445301293,Winter Holidays,62.322605296305284
Air Arabia,BZL,DXB,6.543568035646972,Direct,Boeing 787,Economy,Online Website,-241.177919444257,18537.80617332465,Regular,22.334090793903727
Singapore Airlines,DAC,DXB,2.4204163379974597,Direct,Boeing 787,Economy,Online Website,44867.77697246559,20866.837362259063,Regular,47.92984774523549
Turkish Airlines,ZYL,SPD,0.5027072334542958,Direct,Airbus A320,Business,Travel Agency,16174.119755969823,1898.957725727848,Regular,84.48923990851794
Gulf Air,JSR,SPD,1.8074686754057157,Direct,Airbus A320,Business,Online Website,60501.675965875555,1109.0599399292892,Regular,1.4276719495151973
US-Bangla Airlines,CXB,SPD,0.8179648754701119,Direct,Airbus A320,First Class,Travel Agency,-7021.790961114299,1418.0938039833084,Regular,38.65745549449127
Malaysian Airlines,RJH,CXB,1.0113985949134703,Direct,Airbus A320,First Class,Online Website,-28321.83067730184,-12007.738863846274,Regular,56.63960982220642
Singapore Airlines,CGP,CXB,0.5180795021083918,Direct,Airbus A320,Economy,Direct Booking,18778.13894572714,8493.323338130229,Regular,35.82506289725943
FlyDubai,ZYL,BKK,4.513409103971641,Direct,Boeing 737,Business,Direct Booking,81710.75663060445,11908.617216685614,Regular,34.6834452006706
NovoAir,BZL,CCU,1.3070904749819112,Direct,Airbus A320,Business,Travel Agency,103407.7791318823,9813.065061213505,Regular,47.50901055350124
Air Arabia,JSR,CCU,-1.3140886903694695,Direct,Airbus A320,Economy,Travel Agency,52177.09879697751,162.55315573753978,Regular,37.11381132430199
Qatar Airways,CXB,DAC,-1.8646869434104187,Direct,Airbus A320,First Class,Online Website,61731.46306494884,2426.6957218846046,Regular,27.269084991504638
Malaysian Airlines,CXB,LHR,11.4186518958108,1 Stop,Boeing 777,Business,Online Website,55190.36628079516,14639.150618297415,Regular,7.501576508909068
Thai Airways,SPD,CXB,2.725681559124855,Direct,Airbus A320,Business,Travel Agency,17180.738833638272,1798.8079506567594,Regular,91.71866830707421
Thai Airways,SPD,SIN,4.76574395084354,Direct,Boeing 787,First Class,Travel Agency,139398.04337475315,36194.80216864009,Winter Holidays,24.579172899126384
Malaysian Airlines,SPD,DAC,2.0198776775329037,Direct,Airbus A320,Economy,Online Website,-16771.457210217097,3521.4342681909043,Regular,36.26000364669117
British Airways,CGP,JED,7.656807654287551,1 Stop,Airbus A350,Business,Travel Agency,34764.3863855976,10452.314617015327,Regular,11.825222901923091
Cathay Pacific,DAC,JSR,-3.2696049262168567,Direct,Airbus A320,First Class,Direct Booking,86845.048510732,-446.8705800519298,Regular,68.21431475692917
British Airways,BZL,RJH,0.5348466296023598,Direct,Airbus A320,Economy,Travel Agency,83079.34662033674,-8122.910687722353,Regular,90.04039874060796
Cathay Pacific,CXB,DEL,2.282926312926821,Direct,Boeing 737,Business,Online Website,170406.98717330868,31019.96268316549,Regular,32.667600239511415
Air Arabia,ZYL,DXB,6.005559187644004,Direct,Boeing 787,First Class,Online Website,220890.23771205655,36362.839491677776,Regular,40.749747602091944
US-Bangla Airlines,BZL,CCU,-0.5891487071429,Direct,Airbus A320,Business,Travel Agency,11414.746167270234,14615.785535011668,Regular,32.33158172003832
Biman Bangladesh Airlines,BZL,JFK,15.770164052375405,1 Stop,Airbus A350,First Class,Online Website,115237.83825563702,31544.077422608865,Regular,21.167227850249663
Kuwait Airways,CGP,LHR,11.976729627918573,2 Stops,Boeing 777,First Class,Online Website,49740.56975070937,18280.021962841864,Regular,-1.5119628722064888
Air Arabia,SPD,DEL,3.8046516983550083,Direct,Boeing 737,First Class,Travel Agency,148872.041968464,34224.67177367952,Regular,39.618709097431825
Emirates,DAC,SIN,4.965815511805008,Direct,Boeing 787,Economy,Online Website,100563.21196430674,-736.6034233045029,Regular,18.98631417649257
Air India,BZL,SIN,2.8611107067282675,Direct,Boeing 737,Economy,Direct Booking,117661.27890105653,12853.677104389752,Regular,74.75677208924901
AirAsia,BZL,CGP,-2.0216417529112145,Direct,Airbus A320,First Class,Travel Agency,22191.69568602679,-5673.969323892425,Regular,11.492868196286118
Biman Bangladesh Airlines,CXB,JED,6.636815228582439,1 Stop,Airbus A350,Business,Online Website,42453.01234134367,10732.087667962613,Regular,48.28531310667722
FlyDubai,RJH,YYZ,14.05282316395947,1 Stop,Boeing 777,First Class,Online Website,99158.9529781334,13668.234972135197,Winter Holidays,4.618658045894881
AirAsia,ZYL,DOH,6.3611017841525115,Direct,Boeing 737,First Class,Online Website,227632.40984264438,45812.63453751624,Regular,19.83993005915641
Etihad Airways,CXB,DAC,-1.8501740367282462,Direct,Airbus A320,Economy,Direct Booking,-2207.0286484137023,12874.914364125578,Regular,46.755704571199765
Air India,DAC,SPD,1.5308088309810612,Direct,Airbus A320,Business,Direct Booking,3095.9857008471154,-4249.335349765229,Winter Holidays,9.125610418357748
Vistara,JSR,DEL,2.499803625956337,Direct,Boeing 737,First Class,Travel Agency,167334.32969488183,29171.616595327887,Winter Holidays,86.70019862851011
Turkish Airlines,JSR,RJH,0.23226288400068268,Direct,Airbus A320,Economy,Online Website,-37961.37610736677,-2066.296128478767,Regular,59.69716858757794
Air Astra,CGP,DEL,2.766187588370874,1 Stop,Boeing 737,Economy,Travel Agency,53952.294071312404,-2166.069043766136,Regular,28.792014472068978
Vistara,BZL,DOH,3.704030730773219,1 Stop,Boeing 787,Economy,Online Website,63232.39626915445,4105.766810469059,Regular,70.03653372767688
US-Bangla Airlines,BZL,JFK,16.990874330119816,2 Stops,Boeing 777,Economy,Direct Booking,2492.266842208374,189.57379976677475,Regular,106.19491800716655
Lufthansa,JSR,RJH,-0.571616823401719,Direct,Airbus A320,Economy,Travel Agency,9456.608479940354,853.5283837124506,Regular,80.97784553503628
Turkish Airlines,DAC,YYZ,14.367316383285816,1 Stop,Airbus A350,Economy,Direct Booking,66371.84549759497,10407.495514426144,Regular,12.178112038082308
Kuwait Airways,JSR,KUL,2.024575795735628,Direct,Boeing 787,Business,Travel Agency,69769.0309139756,18149.75483055618,Winter Holidays,20.91114193890955
Air Arabia,CXB,DXB,5.776933941048032,Direct,Boeing 787,First Class,Online Website,150996.85498928235,12713.023500509968,Winter Holidays,55.78271210166929
IndiGo,ZYL,DAC,0.6099876695312676,Direct,Airbus A320,First Class,Direct Booking,20770.89502415184,7071.739308498976,Regular,94.29064356534809
NovoAir,DAC,CGP,0.42836702928663345,Direct,Airbus A320,First Class,Direct Booking,-76984.96406011823,7199.062385603031,Regular,74.89357461542676
Lufthansa,SPD,IST,8.201226256651275,2 Stops,Boeing 777,First Class,Online Website,168341.06863364385,25657.071604096374,Regular,87.77513138267234
US-Bangla Airlines,CGP,DAC,-2.458784462091892,Direct,Airbus A320,First Class,Direct Booking,61756.79362282085,5438.671894719689,Winter Holidays,57.2715698925027
Singapore Airlines,RJH,DEL,-1.0475138649701279,1 Stop,Boeing 787,Economy,Travel Agency,712.3047250065902,15334.399472427933,Regular,59.76604325865459
US-Bangla Airlines,ZYL,JED,7.1572969175823,1 Stop,Airbus A350,Economy,Travel Agency,87118.19153249008,6957.647027810568,Regular,72.15870842881529
Singapore Airlines,JSR,RJH,-0.9527605961727329,Direct,Airbus A320,First Class,Direct Booking,21308.236180995933,1618.664541974282,Winter Holidays,53.93650384128419
Air Arabia,JSR,DAC,3.3064367099606966,Direct,Airbus A320,First Class,Direct Booking,5217.614038881102,2972.3632319005615,Regular,28.386401593376732
US-Bangla Airlines,BZL,LHR,8.020221645134548,1 Stop,Airbus A350,Economy,Travel Agency,36013.65807087068,6060.722715126325,Regular,61.394893098141786
Thai Airways,SPD,KUL,2.5995366287432073,1 Stop,Boeing 787,Economy,Direct Booking,25547.942267692233,24926.964319058716,Regular,67.86471862048256
FlyDubai,DAC,CXB,0.8553348036092999,Direct,Airbus A320,Business,Travel Agency,18655.748104341248,337.4571862116502,Regular,50.37318479579906
Lufthansa,ZYL,YYZ,12.853906943223071,2 Stops,Boeing 777,Business,Direct Booking,44286.32987629121,27013.561834894535,Regular,61.6513786183594
US-Bangla Airlines,ZYL,DOH,5.74237764424242,Direct,Boeing 787,Economy,Travel Agency,-51780.62672286001,5293.141186592854,Regular,45.52592360009156
Biman Bangladesh Airlines,DAC,CGP,4.870156636258405,Direct,Airbus A320,Economy,Direct Booking,17001.353174053726,3169.0855251917324,Regular,81.41719663516363
Malaysian Airlines,CGP,DOH,5.436205256860667,Direct,Boeing 737,First Class,Travel Agency,221361.39922116732,33719.77801353992,Winter Holidays,45.37594467654861
Biman Bangladesh Airlines,CGP,CCU,-0.9397255346110425,Direct,Airbus A320,Economy,Direct Booking,110503.43385790658,22029.972332717887,Winter Holidays,66.22601992769926
Cathay Pacific,CXB,LHR,8.990413151430113,1 Stop,Boeing 777,Business,Direct Booking,30388.74156626745,9901.058463426627,Regular,-6.418759494402362
Saudia,CXB,JSR,-0.24896600091903087,Direct,Airbus A320,First Class,Online Website,-12262.601047224905,-12259.925178495412,Regular,33.214410832848465
SriLankan Airlines,RJH,DOH,2.4730573105927602,1 Stop,Boeing 787,Business,Direct Booking,150514.53467483982,6655.5707055794555,Regular,5.766333536300419
Turkish Airlines,CXB,ZYL,-1.5692528275752184,Direct,Airbus A320,Business,Online Website,-8304.251815627471,-1822.51645758672,Regular,71.16382837236998
Air Arabia,DAC,SIN,1.674472483456311,1 Stop,Boeing 737,Business,Travel Agency,88181.70931284974,8624.868146679784,Regular,48.08121268283345
NovoAir,JSR,YYZ,10.586946687210922,2 Stops,Boeing 777,First Class,Direct Booking,156562.23153431958,33504.704583456885,Winter Holidays,104.07788902145899
US-Bangla Airlines,BZL,YYZ,15.768431041566659,1 Stop,Boeing 777,Business,Travel Agency,121155.74490638476,18125.072727082676,Regular,68.20098368666117
Cathay Pacific,ZYL,DXB,4.624810167566707,Direct,Boeing 737,First Class,Travel Agency,140299.6203513162,34962.346736842024,Regular,52.88517000061509
SriLankan Airlines,RJH,ZYL,2.288285262585769,Direct,Airbus A320,First Class,Travel Agency,-4165.178869545887,-5724.64954018523,Regular,44.324478837270206
Saudia,JSR,DEL,0.6719629565787972,Direct,Boeing 787,Business,Direct Booking,103691.65784185029,27499.19718504263,Winter Holidays,59.8841438878762
IndiGo,DAC,ZYL,2.324891808087572,Direct,Airbus A320,Business,Online Website,25147.377562545218,734.5926149092531,Regular,6.141140529070464
Singapore Airlines,SPD,JED,5.957860900260526,1 Stop,Airbus A350,Economy,Direct Booking,29059.224402343563,12062.104745695238,Regular,73.2505419136211
Vistara,ZYL,CCU,1.5545151196145515,Direct,Airbus A320,Economy,Online Website,87293.25165382937,22007.17804452341,Regular,18.43467622781681
Gulf Air,CXB,BZL,0.9717494023924682,Direct,Airbus A320,First Class,Online Website,24129.103070189292,4521.6584020316595,Regular,71.3715901912212
Turkish Airlines,RJH,CXB,2.0032747986904824,Direct,Airbus A320,First Class,Online Website,4555.494867371993,686.2734208724175,Regular,46.71100522443497
US-Bangla Airlines,DAC,SIN,5.328868413526854,1 Stop,Boeing 737,Economy,Direct Booking,21.278291625072598,9671.591730740884,Winter Holidays,88.3025051589735
IndiGo,RJH,SPD,2.7898536690894864,Direct,Airbus A320,First Class,Direct Booking,16349.945745959976,-12430.62559180514,Regular,62.752693679890314
Malaysian Airlines,CGP,JED,3.2849848778435504,1 Stop,Boeing 777,Business,Travel Agency,64448.26046297408,18434.038989290515,Regular,7.372128273512189
Kuwait Airways,RJH,DEL,-2.1205015611604976,Direct,Boeing 787,Economy,Direct Booking,35077.27305413803,13638.488923444707,Regular,18.869103733320884
Lufthansa,BZL,DOH,5.556336988407681,1 Stop,Boeing 737,Economy,Direct Booking,-44511.60397933732,10035.148525413924,Winter Holidays,32.71955441571812
Saudia,CGP,JSR,-0.2124866460252659,Direct,Airbus A320,Economy,Travel Agency,-34963.5451342276,1651.1428516201106,Regular,6.714466738361039
Emirates,BZL,DEL,1.3676780024299395,Direct,Boeing 737,Business,Online Website,30447.329910853892,2152.0713631004664,Regular,14.009728567547548
Emirates,ZYL,DAC,1.9183695239674168,Direct,Airbus A320,Economy,Online Website,28098.202939056788,3784.584651182538,Eid,90.29792367533115
Vistara,JSR,CGP,2.393465400087248,Direct,Airbus A320,Economy,Travel Agency,35874.43119672921,-10980.666360948831,Regular,84.25201298097052
Thai Airways,ZYL,DAC,3.0253061479618246,Direct,Airbus A320,Business,Online Website,-26986.026411964333,-2104.4915723319154,Regular,25.01069997431968
AirAsia,CXB,JED,8.72949461867355,1 Stop,Airbus A350,Business,Direct Booking,97667.33310538356,24296.173202203972,Regular,42.07301881521659
AirAsia,JSR,ZYL,-0.41853520071589867,Direct,Airbus A320,Economy,Travel Agency,61170.4998066983,-7559.044119575568,Regular,80.15831432373776
Saudia,BZL,JED,7.363297707860195,1 Stop,Airbus A350,Economy,Travel Agency,17170.150384059947,12269.955866693368,Regular,85.32493583459843
Singapore Airlines,CGP,DEL,4.665453829781331,Direct,Boeing 787,First Class,Direct Booking,13552.076825186492,8575.45899088639,Winter Holidays,27.98131785274535
Saudia,RJH,KUL,3.977492599066168,1 Stop,Boeing 737,Business,Direct Booking,-3746.8214288831186,7012.783683002781,Regular,17.60362219644701
Cathay Pacific,ZYL,KUL,2.2203824024318557,Direct,Boeing 787,First Class,Travel Agency,11944.552342959854,14126.24776572969,Regular,95.23608135020882
Kuwait Airways,DAC,YYZ,14.047749559085869,2 Stops,Boeing 777,Business,Online Website,71939.64687110356,17795.70885151068,Regular,-4.598548073295355
Etihad Airways,ZYL,IST,9.182774967781807,1 Stop,Airbus A350,Business,Direct Booking,182405.09050694312,20020.227180251295,Regular,5.5731941499733475
Saudia,RJH,DAC,1.005092195797049,Direct,Airbus A320,Business,Travel Agency,18742.36253657547,4901.172691464242,Winter Holidays,34.923182186112335
Gulf Air,CGP,JED,6.929301958729755,1 Stop,Airbus A350,First Class,Direct Booking,83782.6898541332,15378.569408582083,Regular,96.2391235627204
Malaysian Airlines,RJH,JSR,1.3338056997807868,Direct,Airbus A320,First Class,Travel Agency,67498.40839471621,-159.93928331149777,Regular,25.32151748280934
Emirates,CGP,DOH,5.447199516835291,1 Stop,Boeing 787,Economy,Travel Agency,60181.398033244834,1099.83484550522,Regular,37.52807103359313
SriLankan Airlines,DAC,DOH,4.0574284170079915,Direct,Boeing 737,First Class,Travel Agency,169735.79275423934,20939.054065192322,Regular,87.30194839892785
Saudia,CGP,DAC,0.21358712380755773,Direct,Airbus A320,Economy,Travel Agency,58137.48143793154,-14824.360783000244,Winter Holidays,26.001924909888082
